reference,translation,google/gemini-2.5-flash-lite,DeepSeek-V3.2-Exp,DeepSeek-V3.1-Terminus,DeepSeek-V3.1-Terminus (temp=1.3),DeepSeek-V3.2-Exp (temp=1.3),google/gemini-2.0-flash-001,google/gemma-3-12b-it,google/gemma-3-27b-it,anthropic/claude-sonnet-4,z-ai/glm-4.5,google/gemini-2.5-pro
Ун хыҫҫӑн Лакха Сингх бхаджан юрлассипе ертсе пыма тытӑнчӗ.,Затем Лакха Сингх взял на себя лидерство в пении бхаджанов.,После этого Лакха Сингх начал вести [мероприятие/пение] в стиле бхаджан (или: начал вести пение бхаджанов).,После этого Лакха Сингх начал вести с пением бхаджан.,После этого Лакха Сингх начал вести с пением бхаджан.,После этого Лакха Сингх начал вести с пением бхаджанов.,После этого Лакха Сингх взялся вести с пением бхаджанов.,После этого Лакха Сингх начал руководить пением бхаджанов.,"После этого Лакха Сингх попытался руководить, напевая бхаджан.",После него Лакха Сингх начал сопровождать пением бхаджанов.,После этого Лакха Сингх начал сопровождать пением бхаджана.,"После этого Лакха Сингх начал вести, исполняя бхаджаны.",После этого Лакха Сингх начал вести пение бхаджанов.
"Баба Шьям валли 108 турилкке чаппан-бхог (индуизмра – 56 тӗрлӗ апат-ҫимӗҫ, ҫав шутра – пылак ҫимӗҫ, улма-ҫырла, мӑйӑр тата турӑ умне хуракан ытти апат-ҫимӗҫ) кӑларса лартнӑ.","Баба Шьям были поданы 108 тарелок чаппан-бхог (в индуизме — 56 различных яств, включая сладости, фрукты, орехи и другие блюда, преподносимые божеству).","Баба Шьям приготовила и преподнесла 108 видов подношений чаппан-бхог (в индуизме – 56 различных блюд и напитков, включая сладкие блюда, фрукты и ягоды, орехи и другие кушанья, возлагаемые перед божеством).","Для Бабы Шьяма было приготовлено и выставлено 108 тарелок чаппан-бхога (в индуизме – 56 различных блюд, включая сладкие фрукты, ягоды, молочные продукты и другие блюда, предлагаемые божеству).","Для Бабы Шьяма было приготовлено и выставлено 108 блюд с подношениями-бхог (в индуизме – 56 различных видов пищи и фруктов, включая – сладкие фрукты, яблоки-ягоды, виноград и другие продукты питания, подносимые божествам).","Для бабы Шьям приготовили 108 ритуальных подношений чаппан-бхог (в индуизме – 56 различных блюд и фруктов, в том числе – сладкие фрукты, яблоки и груши, виноград и другие блюда-фрукты, подносимые перед божеством).","Для Бабы Шьяма было приготовлено и выставлено 108 тарелок с ритуальной пищей (в индуизме – 56 различных блюд, включая сладкие фрукты, различные фрукты, молочные продукты и другие продукты, предлагаемые божествам).","Для Бабы Шьяма было приготовлено 108 тарелок чаппан-бхога (в индуизме – 56 различных блюд, включая сладости, фрукты, орехи и другую еду, предлагаемую божеству).","Баба Шьям предложила 108 различных блюд-бхогов (в индуизме – 56 различных видов пищи, включая мясные блюда, яблоки и сыр, а также другие продукты, которые подносят божествам).","Баба Шьям приготовила 108 видов подношений (в индуизме – 56 различных блюд и сладостей, включая молочные сладости, овощи и другие блюда, предлагаемые перед Божеством).","Для Бабы Шьяма в 108 разновидностях приготовили чаппан-бхог (в индуизме – 56 различных видов пищи, в том числе – медовые сладости, фрукты-ягоды, масло и другие кушанья, подносимые перед Богом).","Для Бабы Шьяма приготовили и представили 108 тарелок чаппан-бхог (в индуизме – 56 видов пищи, включая сладости, фрукты и ягоды, орехи и другие блюда, предлагаемые Богу).","Для Бабы Шьяма выставили 108 тарелок чхаппан-бхога (в индуизме – 56 различных блюд, в том числе – сладости, фрукты, ягоды, орехи и другие продукты, которые подносят божеству)."
Лакха Сингх чхапан бхог бхаджан юрларӗ. Раджу Кханделвал унпа пӗрле юрларӗ.,Лаккха Сингх исполнил чхаппан бхог бхаджан.  Певец Раджу Кханделвал пел вместе с ним.,Лакха Сингх пел чхапан бхог бхаджан. Раджу Кхандельвал пел вместе с ним.,Лакха Сингх поёт бхог бхаджан. Раджу Кханделвал поёт вместе с ним.,Лакха Сингх поёт бхог бхаджан в чапане. Раджу Кханделвал поёт вместе с ним.,"Лакха Сингх, пастух, пел религиозные гимны. Раджу Кханделвал пел вместе с ним.",Лакха Сингх поёт бхог бхаджан. Раджу Кханделвал поёт вместе с ним.,"Лакха Сингх исполнил бхаджан (духовную песню), возможно, включающий предложение ""бхог"" (подношение), вероятно, в музыкальной форме ""чхапан"". Раджу Кханделвал пел вместе с ним. // Lakha Singh исполнял бхаджан, возможно, включающий предложение ""бхог"", вероятно, в музыкальной форме ""чхапан"". Раджу Кханделвал пел вместе с ним.",Лакха Сингх исполнял сорок четыре бхог бхаджанов. Раджу Кханделвал пел вместе с ним.,"Лакха Сингх пел чапан бхог бхаджан, а Раджу Кханделвал пел вместе с ним.",Лакха Сингх исполняет чхаппан бхог бхаджан. Раджу Кханделвал поёт вместе с ним.,Лакха Сингх исполнил бхаджан 'Чхапан Бхог'. Раджу Кханделвал пел вместе с ним.,Лакха Сингх пел бхаджаны «Чхаппан Бхог». Раджу Кханделвал пел вместе с ним.
Кӗҫнерникун «Токиори вӑйӑсен куравӗ» тӗп презентацийӗнче «Nintendo» президенчӗ Сатору Ивата (Satoru Iwata) «Nintendo Revolution» ҫӗнӗ вӑйӑ приставкин дизайнӗпе паллаштарчӗ.,"Президент Nintendo Сатору Ивата (Satoru Iwata) представил дизайн новой игровой приставки Nintendo Revolution на главной презентации ""Токийской выставки игр"" в четверг.",В среду на главной презентации «Tokyo Game Show» президент Nintendo Сатору Ива́та представил дизайн новой игровой приставки «Nintendo Revolution».,В четверг на главной презентации Токийской игровой выставки президент Nintendo Сатору Ивата познакомил с дизайном новой игровой приставки Nintendo Revolution.,В четверг на основной презентации «Токийская игровая выставка» президент Nintendo Сатору Ивата (Satoru Iwata) представил дизайн новой игровой консоли «Nintendo Revolution».,В пятницу на главной презентации Токийского игрового шоу президент Nintendo Сатору Ивата представил дизайн новой игровой консоли «Nintendo Revolution».,В четверг на главной презентации «Токийского игрового шоу» президент «Nintendo» Сатору Ивата представил дизайн новой игровой приставки «Nintendo Revolution».,В четверг на главной презентации «Токийской игровой выставки» президент «Nintendo» Сатору Ивата (Satoru Iwata) представил дизайн новой игровой приставки «Nintendo Revolution».,"На презентации ключевых моментов на Tokyo Game Show, президент Nintendo Сатору Ивата (Satoru Iwata) представил дизайн новой игровой приставки «Nintendo Revolution».",В четверг на главной презентации «Токийской игровой выставки» президент «Nintendo» Сатору Ивата (Satoru Iwata) представил дизайн новой игровой приставки «Nintendo Revolution».,Вчера на главной презентации «Токийской игровой выставки» президент «Nintendo» Сатору Ивата представил дизайн новой игровой приставки «Nintendo Revolution».,В четверг на главной презентации «Токийской выставки игр» президент «Nintendo» Сатору Ивата (Satoru Iwata) познакомил с дизайном новой игровой приставки «Nintendo Revolution».,В пятницу на главной презентации в рамках выставки «Tokyo Game Show» президент «Nintendo» Сатору Ивата представил дизайн новой игровой приставки «Nintendo Revolution».
"Контроллерта, телевизор пульчӗ пек курӑнаканскерте, икӗ пультпа усӑ кураҫҫӗ, вӗсем унпа ӗҫлекенӗн телевизорӗпе юнашар вырнаҫнӑ, вӗсем пулӑшнипе виҫӗ виселлӗ хутлӑхра вӑл ӑҫта вырнаҫнине тупма пулать.","В контроллере, который выглядит как телевизионный пульт, используются два датчика, находящиеся рядом с телевизором пользователя, с помощью которых вычисляется его положение в трёхмерном пространстве.","В контроллере, который выглядит как телевизионный пульт, используются два пульта; они расположены рядом с телевизором, которым управляет пользователь, и с их помощью можно определить, где находится [контроллер] в трехмерном пространстве.","В контроллере, который выглядит как пульт от телевизора, используются два пульта, расположенные рядом с работающим телевизором, с их помощью можно определить его местоположение в трёхмерном пространстве.","В контроллере, который выглядит как пульт от телевизора, используются два пульта, они расположены рядом с телевизором, с которым он работает, с их помощью в трёхмерном пространстве можно определить, где он находится.","В системе контроллера, который выглядит как пульт от телевизора, используются два пульта, расположенные рядом с телевизором, с которым работает контроллер; с их помощью можно определить, где он находится в трёхмерном пространстве.","В контроллере, который выглядит как пульт от телевизора, используются два пульта, они расположены рядом с телевизором человека, который с ним работает, с их помощью можно найти его местоположение в трёхмерном пространстве.","В контроллере, который выглядит как телевизионный пульт, используют два пульта, расположенные рядом с телевизором того, кто с ним работает. С их помощью можно определить его местоположение в трехмерном пространстве.","В контроллере, в телевизоре, который выглядит как пульт, используются два пульта, они расположены рядом с телевизором того, кто с ним работает, и с их помощью можно определить его положение по трем осям.","Контроллер, похожий на пульт от телевизора, управляется с помощью двух пультов, которые расположены рядом с телевизором человека, работающего с ним, и с их помощью можно определить его местоположение в трехмерном пространстве.","В контроллере, в устройстве, похожем на пульт от телевизора, отображается работа двух пультов, они сопряжены с телевизором того, кто с ним работает, с их помощью в трёхмерном пространстве можно определить, где они находятся.","В контроллере, который по внешнему виду напоминает пульт от телевизора, используются два пульта управления. Они расположены рядом с телевизором пользователя, и с их помощью можно определить местоположение объекта в трёхмерном пространстве.","В контроллере, похожем на телевизионный пульт, используются два пульта, расположенные рядом с телевизором пользователя, с помощью которых можно определить его местоположение в трёхмерном пространстве."
Ҫак хатӗре сывлӑшра хускатса вылякансем видеовӑйӑри хусканусене хӑйсене кирлӗ пек ертсе пыма пултараҫҫӗ.,Посредством движения устройства в воздухе игроки смогут управлять действиями и движениями в видеоиграх.,"Это устройство позволяет игрокам, управляющим им движениями, контролировать движения в видеоигре по своему усмотрению.","Эти игрушки, запускаемые в воздух, позволяют игрокам управлять запусками в видеоигре так, как им нужно.","В видеоиграх те, кто запускает и управляет этими самолётами в воздухе, могут направлять запуски так, как им необходимо.","Эти игрушки позволяют тем, кто запускает и играет с ними в воздухе, управлять элементами управления в видеоигре так, как им нужно.","В этом случае игроки в воздухе могут управлять запусками в видеоиграх так, как им необходимо.","Игроки, перемещающие это устройство в воздухе, могут управлять движениями в видеоигре по своему усмотрению.","В этой ситуации люди, которые поднимают предметы в воде, могут управлять поднятыми водой объектами, направляя их так, как им нужно.","В данной ситуации те, кто способен улавливать сигналы в эфире, могут обрабатывать видеосигналы в соответствии со своими потребностями.",В этом письме выписавшиеся по состоянию здоровья могут направить себе освобождения от видеоигр по мере необходимости.,"Это устройство позволяет игрокам, двигающимся в воздухе, управлять движениями в видеоигре по мере необходимости.","Двигая это устройство в воздухе, играющие могут управлять движениями в видеоигре так, как им необходимо."
Джанкарло Физикелла хӑйӗн автомобильне итлеттерейми пулчӗ те старта тухсанах ӑмӑртӑва вӗҫлерӗ.,Джанкарло Физикелла потерял контроль над управлением своим автомобилем и завершил гонку вскоре после старта.,"Джанкарло Физикелла, сумев удержать свой автомобиль под контролем, после старта выиграл гонку.","Джанкарло Физикелла не смог завести свою машину, но, стартовав, всё же закончил гонку.",Джанкарло Физикелла не смог управлять своей машиной и сошёл с дистанции сразу после старта.,Джанкарло Физзикелла не смог справиться со своей машиной и сразу после старта попал в аварию.,Джанкарло Физзикелла не смог справиться с управлением своей машины и разбился сразу после старта.,Джанкарло Физикелла не смог справиться со своим автомобилем и завершил гонку сразу после старта.,"Джанcarlo Fisichella заглох на своем автомобиле, и сразу после старта вызвал аварийное столкновение.",Джанкарло Физикелла не смог завести машину и сразу после старта попал в аварию.,Джанкарло Физикелла не смог завести свой автомобиль и сразу же на старте отстал.,"Джанкарло Физикелла не смог завести свой автомобиль, но как только стартовал, тут же вырвался вперёд.",Джанкарло Физикелла не смог совладать со своим автомобилем и завершил гонку прямо на старте.
"Унӑн командӑри юлташӗ Фернандо Алонсо ӑмӑртӑвӑн ытларах пайӗнче малта пычӗ, анчах ӑна пит-стоп хыҫҫӑнах вӗҫлерӗ, тен, яяпӑх ҫирӗплетнӗ малти урапана пула.","Его товарищ по команде Фернандо Алонсо был лидером большую часть состязания, но закончил его сразу же после пит-стопа, наверное, по причине плохо затянутого правого переднего колеса.","Его партнер по команде Фернандо Алонсо лидировал большую часть гонки, но уступил после пит-стопа, возможно, из-за плохо закрепленного переднего колеса.","Его товарищ по команде Фернандо Алонсо лидировал большую часть гонки, но потерял позиции после пит-стопа, по-видимому, из-за повреждённого переднего антикрыла, которое повлияло на переднее колесо.","Его товарищ по команде Фернандо Алонсо лидировал большую часть гонки, но его обогнали сразу после пит-стопа, предположительно, из-за повреждённого переднего антикрыла, пострадавшего от мусора на трассе.","Его товарищ по команде Фернандо Алонсо шёл впереди большую часть гонки, но его обогнали сразу после пит-стопа из-за проблем с креплением переднего колеса, как сообщается.","Его товарищ по команде Фернандо Алонсо шёл впереди в большей части гонки, но его обогнали сразу после пит-стопа из-за переднего колеса, которое якобы было плохо закреплено.","Его товарищ по команде Фернандо Алонсо большую часть гонки лидировал, но он сошёл с дистанции вскоре после пит-стопа, возможно, из-за плохо закреплённого переднего колеса.","Командой Унӑн Фернандо Алонсо большую часть гонки лидировал, но затем сдал позицию после пит-стопа, вероятно, из-за более быстрой трассы на свежей резине.","Его товарищ по команде Фернандо Алонсо лидировал большую часть гонки, но после пит-стопа он отстал, предположительно из-за прокола переднего колеса.","Его товарищ по команде Фернандо Алонсо большую часть гонки лидировал, однако его обогнали после пит-стопа, видимо, это была плохо спланированная стратегия пит-стопа.","Его товарищ по команде Фернандо Алонсо лидировал большую часть гонки, но его сразу после пит-стопа обогнали, возможно, из-за плохо закрепленного переднего колеса.","Его товарищ по команде Фернандо Алонсо лидировал большую часть гонки, но сошёл сразу после пит-стопа, возможно, из-за плохо закреплённого переднего колеса."
Михаэль Шумахер Алонсо хыҫҫӑн ӑмӑртӑва вӗҫлерӗ – йӑлтах ӑмӑртнӑ вӑхӑтра ыттисенчен иртме темиҫе хут та хӑтланнипе автомобиль подвескине сиенлетнине пула.,"Михаэль Шумахер завершил гонку вскоре после Алонсо в следствие повреждения подвески, полученного во время многочисленных попыток обгона в ходе гонки.",Михаэль Шумахер соревновался после Алонсо – из-за неоднократных попыток обогнать других во время гонки было повреждено автомобильное шасси (подвеска).,"Михаэль Шумахер сошёл с дистанции после Алонсо – из-за повреждения подвески автомобиля, вызванного несколькими попытками обгона других гонщиков во время самой гонки.","Михаэль Шумахер после Алонсо завершил квалификацию – в основном потому, что несколько раз во время квалификации пытался обогнать других, что повредило подвеску автомобиля.","Михаэль Шумахер завершил карьеру после Алонсо – в основном из-за того, что во время гонок несколько раз пытался обогнать других, повредив подвеску автомобиля.","Михаэль Шумахер завершил карьеру после Алонсо – в основном из-за того, что за всю карьеру многократно повреждал подвеску автомобиля, пытаясь обогнать других.","Михаэль Шумахер финишировал после Алонсо, причиной тому повреждение подвески автомобиля, вызванное несколькими неудачными попытками обогнать соперников во время гонки.",Поведение Михаэля Шумахера в борьбе с Алонсо – частое касание подвески автомобиля из-за нескольких раз выезда за пределы трассы в плотном поле боя.,"Михаэль Шумахер завершил свою карьеру в гонках вслед за Алонсо – из-за того, что неоднократно обгонял других во время гонки, он обратил внимание на проблему с подвеской автомобиля.","Михаэль Шумахер, обогнав Алонсо, сразу после обгона несколько раз пытался опередить других, что привело к повреждению подвески автомобиля.","Михаэль Шумахер после Алонсо ворвался в гонку – из-за того, что во время гонки он несколько раз пытался обогнать других, что привело к повреждению подвески автомобиля.","Михаэль Шумахер финишировал после Алонсо – а всё потому, что из-за неоднократных попыток обгона во время гонки он повредил подвеску автомобиля."
"«Вӑл питӗ илемлӗ тата лайӑх юрлать», - терӗ вӑл пресс-конференццин стенограммине шута илсе.","""Она очень симпатичная и весьма хорошо поёт"", — сказал он, ссылаясь на стенограмму пресс-конференции.","«Она очень красиво и хорошо поёт», — сказала она, имея в виду стенограмму пресс-конференции.","«Она очень красиво и хорошо поёт», - сказал он, принимая во внимание стенограмму пресс-конференции.","«Она очень красивая и хорошо поёт», — сказал он, принимая во внимание стенограмму пресс-конференции.","«Он очень красивый и хорошо поёт», - сказал он, приняв во внимание стенограмму пресс-конференции.","«Она очень красиво и хорошо поёт», - сказал он, принимая во внимание стенограмму пресс-конференции.","«Она очень красивая и хорошо поёт», - сказал он, принимая во внимание стенограмму пресс-конференции.","«Он очень талантлив и хорошо поёт», - говорится в стенограмме пресс-конференции.","Он/Она поет очень красиво и хорошо, – сказал он/она, ссылаясь на стенограмму пресс-конференции.","«Он/она поёт очень красиво и хорошо», - сказал он, ссылаясь на стенограмму пресс-конференции.","«Она очень красивая и хорошо поет», - сказала она, учитывая стенограмму пресс-конференции.","«Она очень красиво и хорошо поёт», — сказал он, согласно стенограмме пресс-конференции."
«Эпир репетици ирттернӗ чухне кашнинчех чуна тиветчӗ».,"""Я был совершенно искренне тронут каждый раз, когда мы это репетировали.""","«Когда мы проводили репетицию, это глубоко трогало каждого.»","«Когда мы проводили репетицию, это затронуло душу каждого».","«Когда мы проводили репетицию, каждый раз на душе становилось легче».","«Когда мы проводили репетицию, это задевало душу каждого».","«Когда мы проводили репетицию, у каждого было душевное удовлетворение».","Каждый раз, когда мы проводили репетицию, это трогало до глубины души.","«Когда мы проводили репетицию, каждый раз объявлялось [что-то].»",«Во время репетиции каждый из нас что-то почувствовал.»,"«Когда мы проводили репетицию, у каждого душа трепетала».","Когда мы репетировали, у каждого душа была на месте.","Каждый раз, когда мы репетировали, это трогало за душу."
Вӗҫтерсе янӑ хыҫҫӑн 3 минутран тенӗ пек борт камери топливо бакӗнчен изоляци кӑпӑкӗ вӗҫе-вӗҫе юлнине кӑтартрӗ.,"Примерно через 3 минуты после запуска бортовая камера показала, как от топливного бака отлетели многочисленные куски изоляционной пены.","Примерно через 3 минуты после того, как [пену] сдуло, бортовая камера зафиксировала, как изоляционная пена разлетается с топливного бака.","После выключения двигателя примерно через 3 минуты бортовой камерой было показано, что изоляционная крышка топливного бака постепенно исчезает из виду.",После выключения примерно через 3 минуты бортовая камера показала постепенное исчезновение изоляционной крышки топливного бака.,"Примерно через 3 минуты после взлёта бортовая камера показала, как изоляционная крышка постепенно отваливается от топливного бака.","Примерно через 3 минуты после посадки экипаж обнаружил, что изоляционная крышка постепенно отсоединяется от топливного бака.","После запуска, примерно через 3 минуты, бортовая камера показала, как от топливного бака отрывается изоляционная пена.","После завершения, примерно через 3 минуты, было установлено, что изоляционная крышка топливного бака в грузовом отсеке периодически открывается.","Через 3 минуты после выключения, как сообщается, бортовая камера показала медленную утечку изоляционного колпака из топливного бака.",Примерно через 3 минуты после взлета бортовая камера зафиксировала отделение изоляционного покрытия от топливного бака.,"После запуска примерно через 3 минуты бортовая камера показала, что из топливного бака продолжала вылетать изоляционная пена.",Почти через 3 минуты после запуска бортовая камера зафиксировала отделение изоляционной пены от топливного бака.
Ҫапах та шаттла нихӑш енчен те сиен кӳменнине палӑртаҫҫӗ.,"Однако предполагается, что они не нанесли никаких повреждений шаттлу.","Тем не менее, они указывают на то, что радости или пользы ни с какой стороны не было причинено.","Тотчас же и счастья ни с какой стороны не устанавливают, что вреда не было.",Однако и шаттл никаким образом не пострадал.,Однако повреждений шаттла ни с какой стороны не установлено.,"text Сразу же и радость, и то, что вреда не произошло ни с какой стороны, определяют.","Однако отмечают, что шаттл никакого вреда не нанёс.","Они объясняют, почему, несмотря ни на что, всё равно было сделано большое усилие.","Однако, шаттл не принес известий с какой бы стороны ни взяли.",Однако же никто ни с какой стороны радостно не замечает твоего прихода.,"Всё же с радостью отмечают, что это не приносит никакой пользы ни с какой стороны.","Однако отмечается, что град не нанёс никакого ущерба."
"НАСА шаттлӗсен программин пуҫлӑхӗ Н.Вэйн Хэйл кӗҫӗнни каланӑ тӑрӑх, кӑпӑк «пире канӑҫ паман вӑхӑт талккӑшӗ иртсен ҫеҫ» уйрӑлса юлнӑ.","Глава программы шаттлов НАСА Н. Вэйн Хейл младший сказал, что пена отвалилась ""после промежутка времени, который вызывает нашу озабоченность.""","По словам Н. Уэйна Хэйла-младшего, руководителя программы шаттлов НАСА, пенопласт отделился лишь «только после того, как прошло длительное время, не дававшее нам покоя».","По словам директора программы шаттлов НАСА Н. Уэйна Хейла-младшего, крышка отделилась только после того, как прошёл непредсказуемый промежуток времени.","По словам руководителя программы шаттлов НАСА Н. Уэйна Хейла-младшего, шаттл отделился только после того, как прошел определенный период времени, который мы не можем предсказать.","По словам руководителя программы шаттлов НАСА Н. Уэйна Хейла-младшего, защитный кожух отделился «лишь после того, как прошёл неожиданный для нас промежуток времени».","По словам руководителя программы шаттлов НАСА Н.Вэйна Хэйла младшего, люк «отделился только после того, как прошёл неконтролируемый нами промежуток времени».","По словам руководителя программы шаттлов НАСА, Н. Вэйна Хейла-младшего, пена отделилась «только после периода времени, когда она не давала нам покоя».","По словам руководителя программы ""Шаттл"" НАСА Н. Вэйн Хейла, крупный ""пирог, который мы не получили вовремя"" был отделен и ушел.","По словам главы программы космических шаттлов NASA Н.Вейна Хейла, обломки, по всей видимости, отделились после того, как ""прошёл период, когда мы не испытывали радости"".","По словам руководителя программы шаттлов НАСА Н. Уэйна Хейла, сказанным вчера, отделилось много мелких обломков, которые образовались за время, не принесшее нам пользы.","Глава программы НАСА по шаттлам, младший Н. Уэйн Хейл, сообщил, что пена оторвалась только после тревожного для нас промежутка времени.","По словам руководителя программы шаттлов НАСА Н. Уэйна Хейла-младшего, пена отделилась «лишь по прошествии того промежутка времени, который вызывал у нас беспокойство»."
"«Салют пуҫланиччен пилӗк минут маларах ҫил вӑйланма пуҫларӗ, минут каярах вара ҫил хӑвӑртлахӗ сехетре 70 километра ҫитрӗ… Унтан ҫумӑр пуҫланчӗ, ҫав тери вӑйлӑсер тата шултӑраскер, сан ҫине йӗпсем тӑкӑнаҫҫӗ тейӗн, унтан пӗлӗтрен пӑр ӳкме тытӑнчӗ, хӑраса ӳкнӗ ҫынсем кӑшкӑрашма, пӗр-пӗрне пырса ҫапӑнма пуҫларӗҫ.","За пять минут до начала салюта ветер начал усиливаться, минутой позже ветер достиг скорости 70 километров в час... Затем начался дождь, такой сильный и крупный, будто на тебя падают иголки, потом с неба посыпался град, люди в панике кричали и сталкивались друг с другом.","«За пять минут до начала салюта начал усиливаться ветер, а через минуту скорость ветра достигла 70 километров в час… Затем начался дождь, такой сильный и хлещущий, что казалось, будто в тебя бросают иглы, потом с неба посыпал град, и испуганные люди начали кричать и сталкиваться друг с другом.»","«За пять минут до начала салюта ветер начал усиливаться, а через минуту скорость ветра достигла 70 километров в час… Затем начался дождь, чрезвычайно сильный и шквальный, словно на тебя набрасываются нити, потом с неба начал падать град, упавшие люди начали кричать, сталкиваться друг с другом.»","«За пять минут до начала салюта ветер начал усиливаться, а спустя минуту его скорость достигла 70 километров в час… Затем начался дождь, чрезвычайно сильный и шквалистый, будто нити прилипают к тебе, потом из облаков пошёл град, и люди, попадавшие под него, начали кричать и сталкиваться друг с другом.»","«За пять минут до начала салюта ветер начал усиливаться, а через минуту скорость ветра достигла 70 километров в час… Затем начался дождь, чрезвычайно сильный и шквалистый, будто на тебя сыплются иголки, потом начался ледяной дождь, люди, упавшие на землю, начали кричать и сталкиваться друг с другом.»","«За пять минут до начала салюта ветер начал усиливаться, а через минуту скорость ветра достигла 70 километров в час… Затем начался дождь, чрезвычайно сильный и проливной, тебе на голову будто нити падают, затем из града начал сыпаться лёд, упавшие люди начали кричать, толкать и натыкаться друг на друга.»","За пять минут до начала салюта ветер начал усиливаться, минутой позже скорость ветра достигла 70 километров в час… Потом начался дождь, очень сильный и крупный, как будто иголки сыпались на тебя, потом с неба начал падать град, испуганные люди начали кричать, сталкиваясь друг с другом.","За несколько минут до салюта поднялся ветер, который через некоторое время усилился до 70 километров в час… Затем началась гроза, такая сильная и грохочущая, что казалось, будто молнии бьют прямо в землю, а вскоре с неба повалил снег, и испуганные люди начали толкаться и сталкиваться друг с другом.","Примерно за пять минут до начала салюта ветер начал усиливаться, а через минуту его скорость достигла 70 километров в час… Затем начался дождь, такой сильный и хлещущий, словно иголки вонзаются в кожу, а потом вдруг пошел град, люди, промокшие до нитки, начали толкаться и драться друг с другом.","«Через несколько минут после начала салюта ветер начал усиливаться, ещё через несколько минут скорость ветра достигла 70 километров в час... Затем начался дождь, такой сильный и проливной, что люди говорили, будто на них обрушиваются потоки воды, потом поднялась такая паника, что люди, которые промокли до нитки, начали разбегаться, толкать и давить друг друга.»","За пять минут до начала салюта ветер начал усиливаться, а через минуту скорость ветра достигла 70 километров в час… Затем начался дождь, очень сильный и холодный, словно на тебя сыпались иголки, потом из туч начал падать град, напуганные люди начали кричать и сталкиваться друг с другом.","«За пять минут до начала салюта начал усиливаться ветер, а через минуту скорость ветра достигла 70 километров в час… Затем начался дождь, такой сильный и крупный, будто на тебя сыплются иглы, потом с неба начал падать град, испуганные люди начали кричать и сталкиваться друг с другом.»"
